INFO  - 2016-01-03 17:03:12.549; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2016-01-03 17:03:12.550; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2016-01-03 17:03:12.550; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-01-03 17:03:12.550; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-01-03 17:03:12.551; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2016-01-03 17:03:12.551; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2016-01-03 17:03:12.551; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/tika-xmp-1.4.jar' to classloader
INFO  - 2016-01-03 17:03:12.551; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2016-01-03 17:03:12.552; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2016-01-03 17:03:12.552; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2016-01-03 17:03:12.552; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2016-01-03 17:03:12.553; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2016-01-03 17:03:12.553; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2016-01-03 17:03:12.569; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/dist/solr-cell-4.7.1.jar' to classloader
INFO  - 2016-01-03 17:03:12.570; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2016-01-03 17:03:12.570; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2016-01-03 17:03:12.571; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2016-01-03 17:03:12.571; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2016-01-03 17:03:12.571; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2016-01-03 17:03:12.571; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2016-01-03 17:03:12.572; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2016-01-03 17:03:12.572; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2016-01-03 17:03:12.572; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/dist/solr-clustering-4.7.1.jar' to classloader
INFO  - 2016-01-03 17:03:12.573; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2016-01-03 17:03:12.573; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2016-01-03 17:03:12.574; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/dist/solr-langid-4.7.1.jar' to classloader
INFO  - 2016-01-03 17:03:12.576; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2016-01-03 17:03:12.576; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2016-01-03 17:03:12.577; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2016-01-03 17:03:12.577; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2016-01-03 17:03:12.578; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/cytsui/Downloads/solr-4.7.1/dist/solr-velocity-4.7.1.jar' to classloader
INFO  - 2016-01-03 17:03:13.111; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2016-01-03 17:03:13.118; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_47
INFO  - 2016-01-03 17:03:13.289; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2016-01-03 17:03:13.294; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2016-01-03 17:03:13.424; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2016-01-03 17:03:14.057; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2016-01-03 17:03:14.261; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-01-03 17:03:14.269; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-01-03 17:03:14.511; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2016-01-03 17:03:14.521; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/cytsui/Downloads/solr-4.7.1/example/solr/collection1/, dataDir=/Users/cytsui/Downloads/solr-4.7.1/example/solr/collection1/data/
INFO  - 2016-01-03 17:03:14.550; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2016-01-03 17:03:14.555; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2016-01-03 17:03:14.555; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2016-01-03 17:03:14.570; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/cytsui/Downloads/solr-4.7.1/example/solr/collection1/data
INFO  - 2016-01-03 17:03:14.570; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/cytsui/Downloads/solr-4.7.1/example/solr/collection1/data/index/
WARN  - 2016-01-03 17:03:14.571; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/cytsui/Downloads/solr-4.7.1/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2016-01-03 17:03:14.581; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/cytsui/Downloads/solr-4.7.1/example/solr/collection1/data/index
INFO  - 2016-01-03 17:03:14.692; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/cytsui/Downloads/solr-4.7.1/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/cytsui/Downloads/solr-4.7.1/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-01-03 17:03:14.692; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-01-03 17:03:14.698; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-01-03 17:03:14.698; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-01-03 17:03:14.699; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-01-03 17:03:14.703; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-01-03 17:03:14.704; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-01-03 17:03:14.817; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2016-01-03 17:03:14.827; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.828; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.833; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2016-01-03 17:03:14.833; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2016-01-03 17:03:14.838; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2016-01-03 17:03:14.839; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2016-01-03 17:03:14.839; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2016-01-03 17:03:14.839; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2016-01-03 17:03:14.840; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2016-01-03 17:03:14.840; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2016-01-03 17:03:14.841; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2016-01-03 17:03:14.841; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2016-01-03 17:03:14.841; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2016-01-03 17:03:14.845; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2016-01-03 17:03:14.848; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2016-01-03 17:03:14.852; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
